Institute ID,Institute Name,TLR,RPC,GO,OI,PERCEPTION,City,State,Score,Rank
IR-O-U-0273,Indian Institute of Technology Indore,57.51,49.25,69.71,56.59,15.91,Indore,Madhya Pradesh,53.22,30
IR-O-U-0378,Indian Institute of Technology Ropar,72.76,32.92,62.05,63.88,23.76,Rupnagar,Punjab,52.89,31
IR-O-U-0237,National Institute of Technology Karnataka,53.81,41.74,73.32,65.58,30.01,Surathkal,Karnataka,52.88,32
IR-O-U-0139,Indian Institute of Technology Gandhinagar,71.26,37.15,57.21,64.21,23.76,Gandhinagar,Gujarat,52.77,33
IR-O-U-0235,Mysore University,68.77,18.79,90.54,54.24,6.85,Mysuru,Karnataka,50.49,34
IR-O-U-0572,Indian Institute of Science Education & Research Kolkata,59.67,38.82,66.26,53.53,23.34,Mohanpur,West Bengal,50.48,35
IR-O-U-0304,Homi Bhabha National Institute,68.64,36.45,65.98,50.79,6.22,Mumbai,Maharashtra,50.42,36
IR-O-U-0363,Siksha `O` Anusandhan,63.89,29.92,71.34,65.89,13.28,Bhubaneswar,Odisha,50.34,37
IR-O-U-0078,Panjab University,48.88,40.86,71.57,53.49,37.31,Chandigarh,Chandigarh,50.31,38
IR-O-U-0356,Kalinga Institute of Industrial Technology,62.4,27.78,70,78.43,11.06,Bhubaneswar,Odisha,50,39
IR-O-U-0377,"Indian Institute of Science Education & Research, Mohali",62.43,31.86,59.58,71.65,22.04,Mohali,Punjab,49.58,40
IR-O-U-0357,National Institute of Technology Rourkela,49.19,48.29,65.32,51.66,17.89,Rourkela,Odisha,49.27,41
IR-O-U-0476,Shanmugha Arts Science Technology & Research Academy,58.58,38.28,66.3,57.78,10.48,Thanjavur,Tamil Nadu,49.15,42
IR-O-U-0260,Kerala University,64.77,19.93,89.11,51.53,4.91,Thiruvananthapuram,Kerala,48.87,43
